"name","serial","mac","publicIp","networkId","status","lanIp","networkName","networkTags","networkTimeZone","usingCellularFailover","wan1Ip","wan2Ip"
"CAMPUS-SFO-MDF1.1-MX250-Primary","Q2SW-Q6YR-MZCE","e0:cb:bc:07:ae:59","198.27.154.100","L_646829496481100388","online",,"CAMPUS-SFO"," Campuses ","America/Los_Angeles",false,"192.168.10.116","10.0.10.116"
"RETAIL-SYD-MDF1.1-MX65","Q2QN-KX65-VLDD","e0:cb:bc:19:8e:7b","198.27.154.100","L_646829496481091801","online",,"RETAIL-SYD"," Retail ","Australia/Sydney",false,"192.168.10.68","10.0.10.65"
"BRANCH-LON-MDF1.2-MS220-24P","Q2KP-E7MX-3D3A","88:15:44:1a:54:3c","198.27.154.100","L_646829496481087792","online","172.17.1.12","BRANCH-LON"," Branch_Offices ","Europe/London",,,
"BRANCH-LON-MDF1.1-MS220-24P","Q2KP-S9ZD-ZW5V","88:15:44:1a:e9:10","198.27.154.100","L_646829496481087792","online","172.17.1.11","BRANCH-LON"," Branch_Offices ","Europe/London",,,
"BRANCH-LON-MDF1.3-MS350-24","Q2VP-HGRL-45J3","e0:55:3d:31:d9:44","198.27.154.100","L_646829496481087792","online","172.17.1.53","BRANCH-LON"," Branch_Offices ","Europe/London",,,
"BRANCH-LON-MDF1.4-MS350-48","Q2XP-QKNA-4PSB","0c:8d:db:f6:5e:7a","198.27.154.100","L_646829496481087792","online","172.17.1.65","BRANCH-LON"," Branch_Offices ","Europe/London",,,
"BRANCH-LON-MDF1.1-MX84","Q2PN-75EA-6U4L","e0:cb:bc:40:41:30","198.27.154.100","L_646829496481087792","online",,"BRANCH-LON"," Branch_Offices ","Europe/London",false,"192.168.10.117","10.0.10.117"
"CAMPUS-SFO-Onboarding","Q2PD-RHQA-WKMU","e0:cb:bc:32:5d:7a","192.195.83.195","L_646829496481100388","online","192.168.128.11","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-3.5-MR32","Q2JD-XG83-VM6N","e0:55:3d:3a:f8:e0","198.27.154.100","L_646829496481100388","online","172.16.5.89","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-1.2-MR32","Q2JD-P9PL-WYC8","e0:55:3d:38:c0:a0","198.27.154.100","L_646829496481100388","online","172.16.5.119","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-2.6-MR30H","Q2RD-BL9Y-G43C","e0:cb:bc:26:9c:41","198.27.154.100","L_646829496481100388","online","172.16.5.104","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-1.7-MR33","Q2PD-6RJV-8NGF","e0:cb:bc:32:0d:e8","198.27.154.100","L_646829496481100388","online","172.16.5.124","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-2.7-MR33","Q2PD-84MW-RRD5","e0:cb:bc:32:12:f7","198.27.154.100","L_646829496481100388","online","172.16.5.113","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-3.7-MR53","Q2MD-PHZT-T9WR","e0:55:3d:c1:53:7c","198.27.154.100","L_646829496481100388","online","172.16.5.126","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-3.2-MR32","Q2JD-82RJ-VL34","e0:55:3d:3a:d2:00","198.27.154.100","L_646829496481100388","online","172.16.5.121","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-3.1-MR32","Q2JD-82MA-JRQE","e0:55:3d:3a:d1:c0","198.27.154.100","L_646829496481100388","online","172.16.5.122","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-3.3-MR32","Q2JD-WR38-LZ8N","e0:55:3d:3a:d9:a0","198.27.154.100","L_646829496481100388","online","172.16.5.117","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-3.9-MR53E","Q2UD-XBAJ-J7JD","0c:8d:db:7b:29:b0","198.27.154.100","L_646829496481100388","online","172.16.5.111","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
"CAMPUS-SFO-1.3-MR32","Q2JD-PJHW-6Q69","e0:55:3d:38:cb:30","198.27.154.100","L_646829496481100388","online","172.16.5.120","CAMPUS-SFO"," Campuses ","America/Los_Angeles",,,
